,Open Time,Open,High,Low,Close,Volume
0,2024-04-06 23:00:00,68387.4,68443.9,68284.6,68305.6,2215.177
1,2024-04-07 00:00:00,68305.5,69096.5,68279.8,69040.6,11472.6
2,2024-04-07 01:00:00,69040.7,69708.0,68801.6,68901.6,20298.151
3,2024-04-07 02:00:00,68901.5,69172.2,68820.6,69010.0,7160.611
4,2024-04-07 03:00:00,69010.0,69666.0,68990.3,69540.4,11379.981
5,2024-04-07 04:00:00,69540.4,69800.0,69300.0,69309.3,8359.34
6,2024-04-07 05:00:00,69309.3,69521.8,69238.4,69402.1,3793.434
7,2024-04-07 06:00:00,69402.2,69499.5,69055.1,69298.2,5756.148
8,2024-04-07 07:00:00,69298.3,69460.5,69265.2,69399.9,3688.918
9,2024-04-07 08:00:00,69399.9,69420.0,69125.3,69248.0,3960.859
10,2024-04-07 09:00:00,69248.1,69496.0,69229.9,69367.4,3925.931
11,2024-04-07 10:00:00,69367.3,69579.2,69331.5,69498.4,4102.705
12,2024-04-07 11:00:00,69498.3,69518.8,69221.0,69309.4,4150.891
13,2024-04-07 12:00:00,69309.4,69516.0,69244.7,69335.0,3402.231
14,2024-04-07 13:00:00,69335.9,69431.9,69198.3,69366.1,3808.436
15,2024-04-07 14:00:00,69366.2,69436.9,69215.1,69334.4,4002.659
16,2024-04-07 15:00:00,69334.3,69569.4,69293.2,69363.2,4785.731
17,2024-04-07 16:00:00,69363.1,69687.0,69225.3,69595.3,7948.787
18,2024-04-07 17:00:00,69595.3,69921.3,69362.1,69567.9,16922.965
19,2024-04-07 18:00:00,69567.9,70395.0,69496.3,70108.0,25687.873
20,2024-04-07 19:00:00,70107.9,70150.0,69680.0,69826.4,9128.237
21,2024-04-07 20:00:00,69826.4,69867.0,69260.2,69421.3,9088.821
22,2024-04-07 21:00:00,69421.3,69543.2,68881.3,69089.9,10142.479
23,2024-04-07 22:00:00,69090.0,69440.0,68964.9,69326.8,5050.163
24,2024-04-07 23:00:00,69326.9,69443.5,69049.2,69049.2,4298.959
25,2024-04-08 00:00:00,69049.3,69374.9,68900.9,69230.0,6288.557
26,2024-04-08 01:00:00,69229.9,69492.9,69203.4,69362.7,4948.72
27,2024-04-08 02:00:00,69362.7,69450.0,69040.4,69350.1,6068.57
28,2024-04-08 03:00:00,69350.0,69898.0,69288.0,69458.1,11136.107
29,2024-04-08 04:00:00,69458.1,69460.0,69136.2,69253.3,5797.439
30,2024-04-08 05:00:00,69253.3,69523.6,69151.0,69484.9,3551.381
31,2024-04-08 06:00:00,69485.0,69531.2,69296.6,69403.8,2477.647
32,2024-04-08 07:00:00,69403.8,69826.8,69403.8,69728.4,5226.775
33,2024-04-08 08:00:00,69728.4,69848.0,69653.4,69800.0,5112.821
34,2024-04-08 09:00:00,69800.0,70917.0,69799.9,70745.4,27886.978
35,2024-04-08 10:00:00,70745.4,72371.0,70677.6,72057.3,49963.441
36,2024-04-08 11:00:00,72057.2,72753.6,71728.9,72263.2,30608.403
37,2024-04-08 12:00:00,72263.2,72451.1,71856.1,72385.4,15792.722
38,2024-04-08 13:00:00,72385.4,72727.2,72282.0,72472.6,13704.96
39,2024-04-08 14:00:00,72472.6,72890.4,72189.4,72242.3,18239.351
40,2024-04-08 15:00:00,72242.3,72374.0,71751.4,71994.7,19440.034
41,2024-04-08 16:00:00,71994.8,72052.0,71276.0,71781.0,21363.309
42,2024-04-08 17:00:00,71780.9,72045.0,71641.8,71815.7,11374.744
43,2024-04-08 18:00:00,71815.7,72080.0,71601.0,71786.0,10500.259
44,2024-04-08 19:00:00,71785.9,71860.0,71338.3,71740.0,10219.685
45,2024-04-08 20:00:00,71740.1,72171.6,71714.1,71949.7,8173.008
46,2024-04-08 21:00:00,71949.7,72025.2,71610.9,71807.2,5410.658
47,2024-04-08 22:00:00,71807.3,71856.4,71552.5,71760.0,4454.264
48,2024-04-08 23:00:00,71760.1,71963.0,71685.2,71742.8,2961.635
49,2024-04-09 00:00:00,71742.9,72036.0,71643.4,71973.1,3868.734
50,2024-04-09 01:00:00,71973.0,72077.3,71651.1,71678.4,3904.524
51,2024-04-09 02:00:00,71678.3,71820.6,71359.4,71470.0,7250.444
52,2024-04-09 03:00:00,71470.0,71499.0,70900.0,71318.6,14252.086
53,2024-04-09 04:00:00,71318.5,71680.3,71204.6,71526.3,6209.954
54,2024-04-09 05:00:00,71526.3,71702.4,71233.0,71339.0,5910.873
55,2024-04-09 06:00:00,71339.0,71399.9,70970.0,71260.0,6684.261
56,2024-04-09 07:00:00,71259.9,71391.0,71005.0,71110.5,6020.8
57,2024-04-09 08:00:00,71110.5,71328.7,70600.0,70819.0,15942.997
58,2024-04-09 09:00:00,70818.9,70987.9,70160.0,70444.0,19844.707
59,2024-04-09 10:00:00,70444.1,70666.0,69536.8,70544.6,36191.047
60,2024-04-09 11:00:00,70544.6,70945.5,70301.0,70442.6,14023.492
61,2024-04-09 12:00:00,70442.6,70751.5,70264.7,70617.1,7294.363
62,2024-04-09 13:00:00,70617.1,70961.0,70617.0,70858.3,8509.466
63,2024-04-09 14:00:00,70858.2,71048.3,70705.0,70732.4,7561.903
64,2024-04-09 15:00:00,70732.5,70986.8,69930.0,69979.8,21543.301
